Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1729209647,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1729209648,1,POST,Order forAnthony,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,170.43069994542748,170.43069994542748,170.43069994542748,170.43069994542748,669.0
1729209648,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,170.43069994542748,170.43069994542748,170.43069994542748,170.43069994542748,669.0
1729209649,1,POST,Order forAnthony,0.000000,0.000000,33,33,33,33,33,33,33,33,33,33,33,2,0,33.3286999957636,101.87969997059554,33.3286999957636,170.43069994542748,669.0
1729209649,1,,Aggregated,0.000000,0.000000,33,33,33,33,33,33,33,33,33,33,33,2,0,33.3286999957636,101.87969997059554,33.3286999957636,170.43069994542748,669.0
1729209650,1,POST,Order forAnthony,0.000000,0.000000,33,33,33,33,33,33,33,33,33,33,33,2,0,33.3286999957636,101.87969997059554,33.3286999957636,170.43069994542748,669.0
1729209650,1,POST,Order forRichard,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,34.498299937695265,34.498299937695265,34.498299937695265,34.498299937695265,676.0
1729209650,1,,Aggregated,0.000000,0.000000,34,34,34,34,34,34,34,34,34,34,34,3,0,34,79.41923329296212,33.3286999957636,170.43069994542748,671.3333333333334
1729209651,1,POST,Order forAnthony,1.000000,0.000000,33,33,33,33,33,33,33,33,33,33,33,2,0,33.3286999957636,101.87969997059554,33.3286999957636,170.43069994542748,669.0
1729209651,1,POST,Order forMary,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,35.31980002298951,35.31980002298951,35.31980002298951,35.31980002298951,669.0
1729209651,1,POST,Order forRichard,0.000000,0.000000,34,34,34,34,34,34,34,34,34,34,34,1,0,34.498299937695265,34.498299937695265,34.498299937695265,34.498299937695265,676.0
1729209651,1,,Aggregated,1.000000,0.000000,34,34,35,35,35,35,35,35,35,35,35,4,0,34,68.39437497546896,33.3286999957636,170.43069994542748,670.75
1729209652,1,POST,Order forAnthony,1.000000,0.000000,33,33,33,33,33,33,33,33,33,33,33,3,0,33,78.31246665834139,31.178000033833086,170.43069994542748,669.0
1729209652,1,POST,Order forMary,0.000000,0.000000,35,35,35,35,35,35,35,35,35,35,35,1,0,35.31980002298951,35.31980002298951,35.31980002298951,35.31980002298951,669.0
1729209652,1,POST,Order forRichard,0.000000,0.000000,34,34,34,34,34,34,34,34,34,34,34,1,0,34.498299937695265,34.498299937695265,34.498299937695265,34.498299937695265,676.0
1729209652,1,,Aggregated,1.000000,0.000000,34,34,35,35,35,35,35,35,35,35,35,5,0,34,60.95109998714179,31.178000033833086,170.43069994542748,670.4
1729209653,1,POST,Order forAnthony,0.666667,0.000000,33,33,240,240,240,240,240,240,240,240,240,4,0,33,119.51320001389831,31.178000033833086,243.1154000805691,669.0
1729209653,1,POST,Order forMary,0.000000,0.000000,35,35,35,35,35,35,35,35,35,35,35,1,0,35.31980002298951,35.31980002298951,35.31980002298951,35.31980002298951,669.0
1729209653,1,POST,Order forRichard,0.333333,0.000000,34,34,34,34,34,34,34,34,34,34,34,1,0,34.498299937695265,34.498299937695265,34.498299937695265,34.498299937695265,676.0
1729209653,1,,Aggregated,1.000000,0.000000,34,35,35,240,240,240,240,240,240,240,240,6,0,34,91.31181666937967,31.178000033833086,243.1154000805691,670.1666666666666
1729209654,1,POST,Order forAnthony,0.500000,0.000000,33,33,240,240,240,240,240,240,240,240,240,5,0,33,101.62794003263116,30.086900107562542,243.1154000805691,669.0
1729209654,1,POST,Order forMary,0.250000,0.000000,35,35,35,35,35,35,35,35,35,35,35,1,0,35.31980002298951,35.31980002298951,35.31980002298951,35.31980002298951,669.0
1729209654,1,POST,Order forRichard,0.250000,0.000000,34,34,34,34,34,34,34,34,34,34,34,1,0,34.498299937695265,34.498299937695265,34.498299937695265,34.498299937695265,676.0
1729209654,1,,Aggregated,1.000000,0.000000,34,34,35,35,240,240,240,240,240,240,240,7,0,34,82.56540001769152,30.086900107562542,243.1154000805691,670.0
1729209655,1,POST,Order forAnthony,0.600000,0.000000,31,33,33,240,240,240,240,240,240,240,240,6,0,31,88.99058335615943,25.80379997380078,243.1154000805691,669.0
1729209655,1,POST,Order forMary,0.200000,0.000000,35,35,35,35,35,35,35,35,35,35,35,1,0,35.31980002298951,35.31980002298951,35.31980002298951,35.31980002298951,669.0
1729209655,1,POST,Order forRichard,0.200000,0.000000,34,34,34,34,34,34,34,34,34,34,34,1,0,34.498299937695265,34.498299937695265,34.498299937695265,34.498299937695265,676.0
1729209655,1,,Aggregated,1.000000,0.000000,33,34,35,35,240,240,240,240,240,240,240,8,0,33,75.47020001220517,25.80379997380078,243.1154000805691,669.875
1729209656,1,POST,Order forAnthony,0.714286,0.000000,33,33,240,240,340,340,340,340,340,340,340,7,0,33,124.84958573311035,25.80379997380078,340.0035999948159,669.0
1729209656,1,POST,Order forMary,0.142857,0.000000,35,35,35,35,35,35,35,35,35,35,35,1,0,35.31980002298951,35.31980002298951,35.31980002298951,35.31980002298951,669.0
1729209656,1,POST,Order forRichard,0.142857,0.000000,34,34,34,34,34,34,34,34,34,34,34,1,0,34.498299937695265,34.498299937695265,34.498299937695265,34.498299937695265,676.0
1729209656,1,,Aggregated,1.000000,0.000000,34,35,240,240,340,340,340,340,340,340,340,9,0,34,104.86280001027302,25.80379997380078,340.0035999948159,669.7777777777778
1729209657,1,POST,Order forAnthony,0.750000,0.000000,33,33,240,240,340,340,340,340,340,340,340,7,0,33,124.84958573311035,25.80379997380078,340.0035999948159,669.0
1729209657,1,POST,Order forMary,0.125000,0.000000,35,35,35,35,35,35,35,35,35,35,35,2,0,35.06649995688349,35.1931499899365,35.06649995688349,35.31980002298951,669.0
1729209657,1,POST,Order forRichard,0.125000,0.000000,34,34,34,34,34,34,34,34,34,34,34,1,0,34.498299937695265,34.498299937695265,34.498299937695265,34.498299937695265,676.0
1729209657,1,,Aggregated,1.000000,0.000000,34,35,35,240,340,340,340,340,340,340,340,10,0,34,97.88317000493407,25.80379997380078,340.0035999948159,669.7
1729209658,1,POST,Order forAnthony,0.666667,0.000000,33,33,240,240,340,340,340,340,340,340,340,7,0,33,124.84958573311035,25.80379997380078,340.0035999948159,669.0
1729209658,1,POST,Order forMary,0.111111,0.000000,35,35,35,35,35,35,35,35,35,35,35,3,0,35,32.49420000550648,27.096300036646426,35.31980002298951,669.0
1729209658,1,POST,Order forRichard,0.111111,0.000000,34,34,34,34,34,34,34,34,34,34,34,1,0,34.498299937695265,34.498299937695265,34.498299937695265,34.498299937695265,676.0
1729209658,1,,Aggregated,0.888889,0.000000,34,35,35,240,340,340,340,340,340,340,340,11,0,34,91.44800000781701,25.80379997380078,340.0035999948159,669.6363636363636
1729209659,1,POST,Order forAnthony,0.666667,0.000000,31,240,240,340,340,340,340,340,340,340,340,7,0,33,124.84958573311035,25.80379997380078,340.0035999948159,669.0
1729209659,1,POST,Order forMary,0.111111,0.000000,35,35,35,35,35,35,35,35,35,35,35,3,0,35,32.49420000550648,27.096300036646426,35.31980002298951,669.0
1729209659,1,POST,Order forRichard,0.111111,0.000000,34,34,34,34,34,34,34,34,34,34,34,1,0,34.498299937695265,34.498299937695265,34.498299937695265,34.498299937695265,676.0
1729209659,1,,Aggregated,0.888889,0.000000,35,35,240,240,340,340,340,340,340,340,340,11,0,34,91.44800000781701,25.80379997380078,340.0035999948159,669.6363636363636
1729209660,1,POST,Order forAnthony,0.700000,0.000000,31,240,240,340,340,340,340,340,340,340,340,7,0,33,124.84958573311035,25.80379997380078,340.0035999948159,669.0
1729209660,1,POST,Order forMary,0.100000,0.000000,35,35,35,35,35,35,35,35,35,35,35,3,0,35,32.49420000550648,27.096300036646426,35.31980002298951,669.0
